Code Postal,Prix (€),Surface (m2),Prix du m2,Nbr de Pieces
92700,253000,42.0,5690,2
92350,280000,59.55,4702,6 m² de terrain
92600,209000,30.0,6967,2
92170,280000,53.13,5059,3
92110,189000,26.0,7269,1
92600,149000,22.0,6773,1
92600,135000,15.0,9000,1
92260,282000,68.1,3994,4
92300,230000,21.0,10500,1
92600,264000,46.0,5739,3
92360,174000,55.0,3000,3
92000,175000,26.6,6241,1
92130,230000,36.5,6301,2
92160,273000,57.42,4754,3
92600,152000,23.0,6609,1
92260,264000,57.29,4364,3
92700,229000,54.0,4167,2
92700,279000,47.0,5936,2
92000,268000,61.0,4393,3
92360,220500,56.0,3750,3
92400,253000,32.0,7594,2
92360,190000,57.8,3114,3
92360,259000,75.33,3438,4
92230,215000,40.0,5375,2
92000,260000,40.75,6380,3
92170,290000,38.0,7237,2
92120,265000,40.01,6373,2
92300,170000,22.58,7529,1
92500,225000,30.0,7500,1
92220,295000,63.0,4444,4
92190,299000,50.0,5723,2
92700,165000,35.0,4714,2
92110,185000,23.0,8043,2
92100,239000,28.38,7928,1
92500,299000,67.0,4463,3
92380,250000,37.0,6514,2
92350,249000,42.0,5646,2
92320,263000,35.0,7514,1
92500,270000,55.0,4909,3
92800,245000,32.0,7656,2
92140,199000,31.03,6413,1
